HR;Hm;km;maxHR;maxHm;max_speed;minHm;position_lat_max;position_lat_min;position_long_max;position_long_min;speed;bike;type;date;endtime;starttime;rider_weight;rider_height;ride_type;duration
;294,8;11,57499;;518,6;43,5348;325,4;48,74686989;48,71483618;9,517123997;9,492012402;18,52118503;Rose PRO;Rennrad;25.03.20;13:07:09;12:21:12;75;183;Training;00:45:57
;187,8;35,37618;;325,2;37,9908;241;48,79814585;48,70367895;9,517221982;9,170065681;23,19748621;Stevens Elite;Trecking;12.09.19;19:46:15;18:17:08;73;183;Pendeln;01:29:07
;268;35,00307;;346,2;38,2608;239,4;48,79831893;48,70365732;9,517135397;9,170351923;21,33789016;Stevens Elite;Trecking;08.08.17;19:54:50;18:18:37;73;183;Pendeln;01:36:13
;288,6;24,45014;;455,2;59,724;243;48,76644247;48,71543038;9,561146758;9,490566524;29,1802124;Rose PRO;Rennrad;04.11.17;17:10:13;16:15:06;74;183;Training;00:55:07
;266,2;35,32632;;304,2;37,3536;213;48,79811576;48,70365422;9,517144784;9,170349156;22,96491801;Stevens Elite;Trecking;06.05.20;19:37:06;18:07:39;73;183;Pendeln;01:29:27
;236,6;35,24807;;373,8;37,4544;252;48,7983269;48,70364886;9,517300855;9,170491733;21,14804645;Stevens Elite;Trecking;06.03.19;18:58:39;17:20:23;75;183;Pendeln;01:38:16
;174,4;35,51549;;306,8;33,7572;210,6;48,79824433;48,70363863;9,517281828;9,170802534;19,11155077;Stevens Elite;Trecking;14.03.18;09:19:42;07:27:43;74;183;Pendeln;01:51:59
128,9001729;2075,2;100,38474;165;2745,4;57,1392;625,4;46,6579894;46,52864993;11,03300686;10,45283684;25,19073708;Rose PRO;Rennrad;07.08.18;15:20:24;09:54:35;73;183;Training;05:25:49
;258,2;35,17767;;417,6;38,16;322;48,79829471;48,70368993;9,517198093;9,172273809;21,320625;Rose PRO;Rennrad;03.04.17;18:48:21;17:07:47;75;183;Training;01:40:34
;308,2;35,65794;;370,2;41,7204;248,2;48,79813495;48,70367685;9,517221227;9,170660796;23,87434718;Stevens Elite;Trecking;20.09.19;18:53:16;17:22:39;73;183;Pendeln;01:30:37
;424,6;42,78446;;518;51,7284;273;48,78275022;48,70776756;9,645298384;9,514830289;26,33419146;Rose PRO;Rennrad;12.05.20;14:35:41;12:55:10;73;183;Training;01:40:31
;155,2;34,89606;;321;37,8576;221,4;48,79827116;48,70365506;9,517382076;9,170879396;23,2496296;Stevens Elite;Trecking;17.04.18;07:32:40;06:03:48;73;183;Pendeln;01:28:52
;450,2;22,26266;;468,6;39,906;235;48,77745939;48,71389473;9,531488987;9,480472617;17,40292613;CUBE AIM RACE;MTB;06.01.20;15:27:04;14:03:59;76;183;Training;01:23:05
;195,2;35,26557;;331,6;40,0068;240;48,79816655;48,70363654;9,517273027;9,170618886;22,82518686;Stevens Elite;Trecking;26.07.19;20:23:58;18:53:11;73;183;Pendeln;01:30:47
;1720,2;62,1243;;2403;54,45;752,6;47,28741626;47,11647565;12,83434214;12,78398241;23,01955263;Rose PRO;Rennrad;04.06.17;10:49:31;06:19:40;73;183;Training;04:29:51
;365,6;31,94323;;368,2;52,2324;244,8;48,71718739;48,65964227;9,524680199;9,37642755;20,99466313;Rose PRO;Rennrad;02.12.18;13:42:42;12:04:56;75;183;Training;01:37:46
125,6023789;537,6;28,60439;164;480;58,0104;273,4;48,76629696;48,71547899;9,561157404;9,490716644;26,82241937;Rose PRO;Rennrad;06.09.18;14:14:05;12:58:04;70;183;Training;01:16:01
;467,6;30,06829;;443,2;49,2444;224,2;48,76630886;48,71541739;9,561101664;9,49063601;25,60258206;Rose PRO;Rennrad;29.01.17;14:48:17;13:33:38;76;183;Training;01:14:39
;147;35,18296;;326,8;39,4344;238,4;48,79827275;48,70364944;9,517381322;9,170666412;23,37729859;Stevens Elite;Trecking;23.08.18;08:47:46;07:19:25;71;183;Pendeln;01:28:21
;240,6;35,33326;;232,8;37,6884;140;48,7981471;48,7036274;9,517291635;9,170800438;20,42657248;Stevens Elite;Trecking;15.04.19;19:01:05;17:18:17;75;183;Pendeln;01:42:48
;648,8;41,33558;;514,6;51,2604;293,6;48,76649662;48,68561771;9,61750282;9,490556717;24,40074986;Rose PRO;Rennrad;05.01.20;16:05:16;14:16:11;76;183;Training;01:49:05
;204,6;34,68938;;320,6;36,4464;234;48,79831659;48,70366076;9,51751845;9,17059944;21,52830534;Stevens Elite;Trecking;08.09.17;08:49:27;07:13:13;73;183;Pendeln;01:36:14
;199;34,61668;;311,4;42,2892;212;48,79827032;48,70362011;9,517227095;9,170786273;23,33970678;Stevens Elite;Trecking;28.07.17;08:21:02;06:52:36;73;183;Pendeln;01:28:26
;584,8;30,71422;;489,8;57,474;236,6;48,80340323;48,71703635;9,528350467;9,46038153;28,4484954;Rose PRO;Rennrad;10.11.18;15:57:16;14:43:02;75;183;Training;01:14:14
;911,2;52,71226;;488,2;51,426;245;48,80683855;48,71544496;9,561124379;9,460503487;24,56714144;Rose PRO;Rennrad;27.05.17;19:37:54;17:13:04;73;183;Training;02:24:50
;551;37,90734;;502,2;56,7;255,2;48,80458742;48,70850785;9,608496716;9,49052277;26,49203548;Rose PRO;Rennrad;24.04.19;17:32:46;15:50:18;75;183;Training;01:42:28
;192;35,30041;;462,8;38,8656;374;48,79811341;48,70362799;9,517271686;9,170642188;23,19864078;Stevens Elite;Trecking;13.09.19;19:06:22;17:36:33;73;183;Pendeln;01:29:49
;669,8;47,65028;;505,2;50,454;254,2;48,79934002;48,70362975;9,561139969;9,379709568;25,69358175;Rose PRO;Rennrad;02.04.18;13:46:17;11:48:15;74;183;Training;01:58:02
;262,6;35,89811;;334,4;40,14;241,8;48,80002339;48,70365305;9,517295575;9,170750482;22,93762086;Stevens Elite;Trecking;28.07.20;19:13:23;17:40:09;73;183;Pendeln;01:33:14
;1256,6;74,58274;;795,6;56,0628;273,6;48,71904365;48,54607629;9,621120784;9,497024696;26,02380704;Rose PRO;Rennrad;12.07.20;13:56:30;10:37:38;73;183;Training;03:18:52
;191,8;34,84457;;360,2;40,176;259,2;48,79828717;48,7036668;9,517376795;9,170690468;21,6353605;Stevens Elite;Trecking;19.04.18;08:24:38;06:48:21;73;183;Pendeln;01:36:17
;466,8;42,98578;;398,4;56,5992;254,4;48,72549151;48,63939872;9,629443092;9,514868846;26,96767757;Rose PRO;Rennrad;24.04.20;15:16:58;13:38:17;74;183;Training;01:38:41
;373;35,45992;;269,4;38,9664;136,2;48,80004267;48,70365129;9,517235309;9,170874786;21,12256106;Stevens Elite;Trecking;30.06.17;20:35:42;18:52:12;73;183;Pendeln;01:43:30
;284,6;24,40178;;485;61,5384;278;48,76656233;48,7154639;9,561137538;9,49057918;29,12323951;Rose PRO;Rennrad;04.08.18;09:05:41;08:10:26;73;183;Training;00:55:15
;202,4;14,16321;;373,2;29,8944;283,2;48,7171656;48,70317033;9,536965219;9,477965757;12,46223032;CUBE AIM RACE;MTB;31.12.18;15:50:35;14:25:41;76;183;Training;01:24:54
;224,4;36,09483;;378,6;40,41;261;48,79831474;48,70368138;9,523435738;9,170893393;21,42295796;Stevens Elite;Trecking;16.10.18;19:08:42;17:29:15;74;183;Pendeln;01:39:27
;2072,6;59,96428;;2261,8;47,5308;1533,8;46,55373302;46,48160809;11,88756108;11,75682644;19,17953332;Rose PRO;Rennrad;18.07.16;15:08:09;10:21:21;73;183;Training;04:46:48
;847,4;55,92074;;535,6;59,8932;258,6;48,81283656;48,70266826;9,60848473;9,389318079;26,66263937;Rose PRO;Rennrad;01.11.19;12:42:59;10:18:51;74;183;Training;02:24:08
;263,4;35,40041;;342;37,7208;241,8;48,79828851;48,70366721;9,516492672;9,17063741;20,16267523;Stevens Elite;Trecking;26.05.17;16:57:24;15:12:52;73;183;Pendeln;01:44:32
;627,8;27,12433;;482,6;51,3252;225,6;48,79746943;48,71548159;9,532083683;9,460423691;24,28510075;Rose PRO;Rennrad;21.12.19;15:07:01;13:46:03;75;183;Training;01:20:58
;195,6;35,34657;;364,2;41,9544;257,2;48,79827476;48,70366135;9,517341843;9,170791302;23,92138773;Stevens Elite;Trecking;22.07.19;08:55:59;07:27:29;73;183;Pendeln;01:28:30
;302;35,26934;;391,2;40,0068;259,8;48,79819605;48,70364718;9,517330108;9,170769509;23,7192622;Stevens Elite;Trecking;23.08.19;18:57:45;17:29:18;73;183;Pendeln;01:28:27
;358,6;14,22792;;425,2;40,2408;260;48,74683301;48,71394385;9,517302532;9,486200893;17,53605968;CUBE AIM RACE;MTB;06.04.20;16:08:29;15:14:09;75;183;Training;00:54:20
;762,4;61,1176;;472,4;52,7724;253,6;48,77385241;48,6314391;9,62521526;9,476639237;25,30767704;Rose PRO;Rennrad;27.06.20;16:31:01;13:56:05;73;183;Training;02:34:56
;1661;101,16144;;485,6;53,7444;198,6;48,82231775;48,70890163;9,588935366;9,268317595;23,72260469;Rose PRO;Rennrad;28.04.19;11:44:08;07:00:43;74;183;Training;04:43:25
;248,2;35,41315;;401,2;39,0996;263;48,79814778;48,70366537;9,517124919;9,17050397;22,93052903;Stevens Elite;Trecking;04.06.18;20:12:45;18:42:49;73;183;Pendeln;01:29:56
;556,2;32,50797;;488,2;53,6112;281,4;48,7663268;48,71549852;9,560297923;9,490630394;25,02900855;Rose PRO;Rennrad;09.07.16;18:56:00;17:35:58;73;183;Training;01:20:02
;234;35,40561;;371;36,9828;252,2;48,79829924;48,70375036;9,517272357;9,170829607;20,1527499;Stevens Elite;Trecking;21.08.19;19:21:34;17:38:15;73;183;Pendeln;01:43:19
;905,8;56,60322;;664,6;55,1232;282,6;48,71720642;48,6001606;9,657768393;9,49763733;27,14437405;Rose PRO;Rennrad;20.10.19;15:39:36;13:19:38;74;183;Training;02:19:58
;417;25,03675;;519;48,6396;308,4;48,76651665;48,71702386;9,561190763;9,490579851;25,6722527;Rose PRO;Rennrad;22.03.20;14:06:25;13:01:45;75;183;Training;01:04:40
;166,2;34,91304;;342,6;41,3496;252,2;48,79824735;48,70365263;9,517271519;9,170871601;23,68553132;Stevens Elite;Trecking;05.06.18;08:32:49;07:04:03;73;183;Pendeln;01:28:46
;4866,4;250,83848;;820;61,7724;298,2;48,87835077;48,5448418;9,99063137;9,606780102;27,2402766;Rose PRO;Rennrad;25.06.17;18:17:51;05:31:11;73;183;Race;12:46:40
;553,8;39,32151;;530;49,6476;261,6;48,81367844;48,71704834;9,561899705;9,460495356;24,95760646;Rose PRO;Rennrad;14.03.20;14:34:05;12:50:21;75;183;Training;01:43:44
;145;34,90439;;367;38,7648;275,6;48,79825037;48,70362053;9,517275291;9,17085995;22,82676599;Stevens Elite;Trecking;27.06.19;08:18:45;06:47:42;73;183;Pendeln;01:31:03
;156;35,01129;;317,8;37,62;228;48,79826982;48,70367434;9,517265903;9,170871768;23,0570347;Stevens Elite;Trecking;24.05.19;08:51:39;07:19:16;74;183;Pendeln;01:32:23
;243,2;34,93155;;331;37,9584;246,8;48,79829815;48,70364903;9,517284762;9,17036768;22,19394667;Stevens Elite;Trecking;05.07.17;21:30:24;19:55:39;73;183;Pendeln;01:34:45
;159,4;34,8013;;317,6;38,0592;229,4;48,79818306;48,70365757;9,517332036;9,170874031;23,49336362;Stevens Elite;Trecking;27.09.18;08:59:15;07:30:18;73;183;Pendeln;01:28:57
;672;41,89438;;509,6;55,2888;259,4;48,79749164;48,70273506;9,58442213;9,460421847;26,90503666;Rose PRO;Rennrad;21.09.19;14:20:41;12:34:40;73;183;Training;01:46:01
;587,6;48,33802;;525,2;57,204;292,4;48,78278534;48,7077725;9,645313472;9,506503707;26,43340339;Rose PRO;Rennrad;28.05.20;15:51:32;13:54:42;73;183;Training;01:56:50
;1918,8;130,60158;;814;57,3048;265,8;48,75590064;48,54323859;9,924129518;9,512987947;27,21935666;Rose PRO;Rennrad;25.05.17;12:36:56;06:55:55;73;183;Training;05:41:01
;203,8;34,66066;;319,2;41,148;229,6;48,79825816;48,70365556;9,517218629;9,170757439;24,42025732;Stevens Elite;Trecking;11.05.17;08:09:23;06:44:42;74;183;Pendeln;01:24:41
;244,8;34,9582;;311,2;38,9304;223;48,79833369;48,70367107;9,517240003;9,169917824;23,23303408;Rose PRO;Rennrad;28.07.17;19:55:32;18:25:45;73;183;Training;01:29:47
;214,2;14,30438;;382,4;39,9744;278,4;48,71902462;48,69469866;9,538108092;9,472961677;20,829825;Rose PRO;Rennrad;21.04.20;09:23:26;08:38:57;74;183;Training;00:44:29
;490;40,86532;;399,8;50,3856;267;48,71905035;48,62002487;9,567354061;9,504347881;26,30837563;Rose PRO;Rennrad;28.05.17;09:15:23;07:35:15;73;183;Training;01:40:08
;315,8;12,26983;;530,2;37,62;332;48,74673938;48,71393337;9,516906319;9,485954717;17,89259218;CUBE AIM RACE;MTB;24.03.20;16:08:47;15:21:57;75;183;Training;00:46:50
;150,8;34,97137;;320;39,0312;227,4;48,79826537;48,70361466;9,517297084;9,170826506;23,02904414;Stevens Elite;Trecking;14.06.19;08:23:21;06:51:30;73;183;Pendeln;01:31:51
;787,4;46,38954;;489;58,6152;237;48,8044876;48,70849092;9,608462267;9,460384967;26,39294676;Rose PRO;Rennrad;31.08.19;14:39:29;12:35:27;73;183;Training;02:04:02
;1123,4;102,59554;;485;53,9784;263,8;48,76648514;48,55448459;9,566920549;9,326934842;26,43108542;Rose PRO;Rennrad;30.07.17;11:21:28;07:15:46;73;183;Training;04:05:42
;416,2;19,4229;;524;40,0068;311,6;48,75842669;48,713927;9,524300247;9,480492733;19,25292747;Rose PRO;Rennrad;13.05.20;12:43:55;11:35:38;73;183;Training;01:08:17
;582,4;40,0281;;496,4;57,8772;257,6;48,79159413;48,71550137;9,560282668;9,404851506;27,42747297;Rose PRO;Rennrad;27.01.18;16:23:03;14:48:13;75;183;Training;01:34:50
;233,2;35,31678;;367,8;38,5956;252,6;48,79811534;48,70362774;9,517298257;9,170640763;21,68299915;Stevens Elite;Trecking;20.03.20;17:57:08;16:22:13;75;183;Pendeln;01:34:55
